Sl No.,Timestamp,Source,Destination,Volume,Protocol
250,2015-10-20 15:35:06 Z,10.10.10.30,10.10.10.10,5,tcp
251,2015-10-20 15:35:07 Z,10.10.10.30,10.10.10.10,5,tcp
252,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,4,tcp
253,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,2,tcp
254,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,5,tcp
255,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,7,tcp
256,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,4,tcp
257,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,2,tcp
258,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,7,tcp
259,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,6,tcp
260,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,4,tcp
261,2015-10-20 15:35:08 Z,10.10.10.10,10.10.10.30,6,tcp
262,2015-10-20 15:35:08 Z,10.10.10.30,10.10.10.10,5,tcp
263,2015-10-20 15:35:09 Z,10.10.10.10,10.10.10.30,7,tcp
264,2015-10-20 15:35:09 Z,10.10.10.30,10.10.10.10,5,tcp
265,2015-10-20 15:35:10 Z,10.10.10.10,10.10.10.30,7,tcp
266,2015-10-20 15:35:10 Z,10.10.10.30,10.10.10.10,5,tcp
267,2015-10-20 15:35:11 Z,10.10.10.10,10.10.10.30,7,tcp
268,2015-10-20 15:35:11 Z,10.10.10.10,10.10.10.30,7,tcp
269,2015-10-20 15:35:11 Z,10.10.10.30,10.10.10.10,5,tcp
270,2015-10-20 15:35:12 Z,10.10.10.10,10.10.10.30,7,tcp
271,2015-10-20 15:35:12 Z,192.168.89.2,8.8.8.8,1,udp
272,2015-10-20 15:35:12 Z,10.10.10.30,10.10.10.10,5,tcp
273,2015-10-20 15:35:13 Z,10.10.10.10,10.10.10.30,7,tcp
274,2015-10-20 15:35:13 Z,10.10.10.10,10.10.10.30,7,tcp
275,2015-10-20 15:35:13 Z,10.10.10.30,10.10.10.10,5,tcp
276,2015-10-20 15:35:14 Z,10.10.10.10,10.10.10.30,7,tcp
277,2015-10-20 15:35:14 Z,10.10.10.30,10.10.10.10,5,tcp
278,2015-10-20 15:35:15 Z,10.10.10.10,10.10.10.30,7,tcp
279,2015-10-20 15:35:15 Z,10.10.10.30,10.10.10.10,5,tcp
280,2015-10-20 15:35:16 Z,10.10.10.30,10.10.10.10,5,tcp
